# config/squads/euro2024.csv — UEFA Euro 2024 squads (24 teams) for the P3 v0 k_squad sweep.
# tournament,team,player,club ; club = club at the tournament (the join key, never player).
# SOURCE: Wikipedia "UEFA Euro 2024 squads" (https://en.wikipedia.org/wiki/UEFA_Euro_2024_squads),
#   accessed 2026-06-10. team = martj42 store key. Cutoff for club-Elo join: 2024-06-14.
# Curated player+club only (no jersey/DOB) per the brief — for v0 the CLUB is what matters.
tournament,team,player,club
euro2024,Romania,Andrei Coubiș,Milan
euro2024,Romania,Răzvan Sava,CFR Cluj
euro2024,Turkey,Mert Günok,Beşiktaş
euro2024,Turkey,Zeki Çelik,Roma
euro2024,Turkey,Merih Demiral,Al-Ahli
euro2024,Turkey,Kaan Ayhan,Galatasaray
euro2024,Turkey,Ferdi Kadıoğlu,Fenerbahçe
euro2024,Turkey,Salih Özcan,Borussia Dortmund
euro2024,Turkey,Hakan Çalhanoğlu,Inter Milan
euro2024,Turkey,Arda Güler,Real Madrid
euro2024,Turkey,Kerem Aktürkoğlu,Galatasaray
euro2024,Turkey,Cenk Tosun,Beşiktaş
euro2024,Turkey,Yusuf Yazıcı,Lille
euro2024,Turkey,Uğurcan Çakır,Trabzonspor
euro2024,Turkey,Abdülkerim Bardakcı,Galatasaray
euro2024,Turkey,Samet Akaydin,Fenerbahçe
euro2024,Turkey,Mert Müldür,Fenerbahçe
euro2024,Turkey,Orkun Kökçü,Benfica
euro2024,Turkey,İsmail Yüksek,Fenerbahçe
euro2024,Turkey,Kenan Yıldız,Juventus
euro2024,Turkey,İrfan Can Kahveci,Fenerbahçe
euro2024,Turkey,Barış Alper Yılmaz,Galatasaray
euro2024,Turkey,Okay Yokuşlu,West Bromwich Albion
euro2024,Turkey,Bertuğ Yıldırım,Rennes
euro2024,Turkey,Semih Kılıçsoy,Beşiktaş
euro2024,Turkey,Altay Bayındır,Manchester United
euro2024,Turkey,Yunus Akgün,Galatasaray
euro2024,Turkey,Çağlar Söyüncü,Fenerbahçe
euro2024,Georgia,Giorgi Mamardashvili,Valencia
euro2024,Georgia,Otar Kakabadze,Cracovia
euro2024,Georgia,Lasha Dvali,APOEL
euro2024,Georgia,Guram Kashia,Slovan Bratislava
euro2024,Georgia,Solomon Kvirkvelia,Lokomotiv Moscow
euro2024,Georgia,Giorgi Kochorashvili,Levante
euro2024,Georgia,Otar Kiteishvili,Sturm Graz
euro2024,Georgia,Giorgi Kvilitaia,APOEL
euro2024,Georgia,Georges Mikautadze,Metz
euro2024,Georgia,Khvicha Kvaratskhelia,Napoli
euro2024,Georgia,Giorgi Chakvetadze,Watford
euro2024,Georgia,Luka Lochoshvili,Cremonese
euro2024,Georgia,Lasha Parunashvili,Saburtalo
euro2024,Georgia,Anzor Mekvabishvili,Ferencváros
euro2024,Georgia,Gabriel Sigua,Basel
euro2024,Georgia,Nika Gagnidze,Dinamo Tbilisi
euro2024,Georgia,Saba Lobzhanidze,Atlanta United
euro2024,Georgia,Zuriko Davitashvili,Bordeaux
euro2024,Georgia,Budu Zivzivadze,Karlsruher SC
euro2024,Georgia,Sandro Altunashvili,Wolfsberger AC
euro2024,Georgia,Luka Gagnidze,Dinamo Tbilisi
euro2024,Georgia,Giorgi Loria,Dinamo Tbilisi
euro2024,Georgia,Giorgi Gocholeishvili,Shakhtar Donetsk
euro2024,Georgia,Vakhtang Salia,Samtredia
euro2024,Georgia,Levan Shengelia,Pendikspor
euro2024,Georgia,Giorgi Tsitaishvili,Dynamo Kyiv
euro2024,Czech Republic,Jindřich Staněk,Slavia Prague
euro2024,Czech Republic,Vladimír Coufal,West Ham United
euro2024,Czech Republic,Robin Hranáč,Viktoria Plzeň
euro2024,Czech Republic,Tomáš Vlček,Slavia Prague
euro2024,Czech Republic,Ladislav Krejčí,Sparta Prague
euro2024,Czech Republic,David Doudera,Slavia Prague
euro2024,Czech Republic,Lukáš Provod,Slavia Prague
euro2024,Czech Republic,Tomáš Souček,West Ham United
euro2024,Czech Republic,Adam Hložek,Bayer Leverkusen
euro2024,Czech Republic,Patrik Schick,Bayer Leverkusen
euro2024,Czech Republic,Mojmír Chytil,Slavia Prague
euro2024,Czech Republic,Jakub Brabec,Viktoria Plzeň
euro2024,Czech Republic,Matěj Vydra,Viktoria Plzeň
euro2024,Czech Republic,Tomáš Holeš,Slavia Prague
euro2024,Czech Republic,Antonín Barák,Fiorentina
euro2024,Czech Republic,Václav Černý,VfL Wolfsburg
euro2024,Czech Republic,Tomáš Chorý,Viktoria Plzeň
euro2024,Czech Republic,Ondřej Lingr,Feyenoord
euro2024,Czech Republic,Petr Ševčík,Slavia Prague
euro2024,Czech Republic,Pavel Šulc,Viktoria Plzeň
euro2024,Czech Republic,Tomáš Koubek,Sparta Prague
euro2024,Czech Republic,Martin Vitík,Sparta Prague
euro2024,Czech Republic,David Jurásek,Benfica
euro2024,Czech Republic,Matěj Jurásek,Slavia Prague
euro2024,Czech Republic,Lukáš Červ,Viktoria Plzeň
euro2024,Czech Republic,Daniel Vyhnal,Mladá Boleslav
euro2024,Portugal,Diogo Costa,Porto
euro2024,Portugal,João Cancelo,Barcelona
euro2024,Portugal,Pepe,Porto
euro2024,Portugal,Rúben Dias,Manchester City
euro2024,Portugal,Nuno Mendes,Paris Saint-Germain
euro2024,Portugal,João Palhinha,Fulham
euro2024,Portugal,Vitinha,Paris Saint-Germain
euro2024,Portugal,Bruno Fernandes,Manchester United
euro2024,Portugal,Cristiano Ronaldo,Al Nassr
euro2024,Portugal,Bernardo Silva,Manchester City
euro2024,Portugal,Rafael Leão,Milan
euro2024,Portugal,Diogo Dalot,Manchester United
euro2024,Portugal,António Silva,Benfica
euro2024,Portugal,Rúben Neves,Al Hilal
euro2024,Portugal,Diogo Jota,Liverpool
euro2024,Portugal,Gonçalo Ramos,Paris Saint-Germain
euro2024,Portugal,Pedro Neto,Wolverhampton Wanderers
euro2024,Portugal,Francisco Conceição,Porto
euro2024,Portugal,Nélson Semedo,Wolverhampton Wanderers
euro2024,Portugal,Danilo Pereira,Paris Saint-Germain
euro2024,Portugal,João Félix,Barcelona
euro2024,Portugal,Gonçalo Inácio,Sporting CP
euro2024,Portugal,José Sá,Wolverhampton Wanderers
euro2024,Portugal,Rui Patrício,retired
euro2024,Portugal,Matheus Nunes,Manchester City
euro2024,Portugal,Pedro Gonçalves,Sporting CP
euro2024,Romania,Laurențiu Brănescu,Unattached
