# config/squads/wc2022.csv — 2022 FIFA World Cup squads (32 teams) for the P3 v0 k_squad sweep.
# tournament,team,player,club ; club = club at the tournament (the join key, never player).
# SOURCE: Wikipedia "2022 FIFA World Cup squads"
#   (https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_squads), accessed 2026-06-10.
# team = martj42 store key (e.g. South Korea, United States). Cutoff for club-Elo join: 2022-11-20.
# Curated player+club only (no jersey/DOB) per the brief — for v0 the CLUB is what matters.
tournament,team,player,club
wc2022,Iran,Saeid Ezatolahi,Vejle Boldklub
wc2022,Iran,Alireza Jahanbakhsh,Feyenoord
wc2022,Iran,Morteza Pouraliganji,Persepolis
wc2022,Iran,Mehdi Taremi,FC Porto
wc2022,Iran,Karim Ansarifard,AC Omonia
wc2022,Iran,Vahid Amiri,Persepolis
wc2022,Iran,Payam Niazmand,Sepahan
wc2022,Iran,Hossein Kanaanizadegan,Al Ahli
wc2022,Iran,Saman Ghoddos,Brentford
wc2022,Iran,Rouzbeh Cheshmi,Esteghlal
wc2022,Iran,Mehdi Torabi,Persepolis
wc2022,Iran,Ali Gholizadeh,R. Charleroi
wc2022,Iran,Ali Karimi,Kayserispor
wc2022,Iran,Majid Hosseini,Kayserispor
wc2022,Iran,Sardar Azmoun,Bayer 04 Leverkusen
wc2022,Iran,Ahmad Nourollahi,Shabab Al Ahli Club
wc2022,Iran,Amir Abedzadeh,SD Ponferradina
wc2022,Iran,Ramin Rezaeian,Sepahan
wc2022,Iran,Hossein Hosseini,Esteghlal
wc2022,Iran,Abolfazl Jalali,Esteghlal
wc2022,Mexico,Alfredo Talavera,FC Juárez
wc2022,Mexico,Néstor Araujo,Club América
wc2022,Mexico,César Montes,C.F. Monterrey
wc2022,Mexico,Edson Álvarez,AFC Ajax
wc2022,Mexico,Johan Vásquez,U.S. Cremonese
wc2022,Mexico,Gerardo Arteaga,K.R.C. Genk
wc2022,Mexico,Luis Romo,C.F. Monterrey
wc2022,Mexico,Carlos Rodríguez,Cruz Azul
wc2022,Mexico,Raúl Jiménez,Wolverhampton Wanderers
wc2022,Mexico,Alexis Vega,C.D. Guadalajara
wc2022,Mexico,Rogelio Funes Mori,C.F. Monterrey
wc2022,Mexico,Rodolfo Cota,Club León
wc2022,Mexico,Guillermo Ochoa,Club América
wc2022,Mexico,Érick Gutiérrez,PSV Eindhoven
wc2022,Mexico,Héctor Moreno,C.F. Monterrey
wc2022,Mexico,Héctor Herrera,Houston Dynamo
wc2022,Mexico,Orbelín Pineda,AEK Athens
wc2022,Mexico,Andrés Guardado,Real Betis
wc2022,Mexico,Jorge Sánchez,AFC Ajax
wc2022,Mexico,Henry Martín,Club América
wc2022,Mexico,Uriel Antuna,Cruz Azul
wc2022,Mexico,Hirving Lozano,S.S.C. Napoli
wc2022,Mexico,Jesús Gallardo,C.F. Monterrey
wc2022,Mexico,Luis Chávez,C.F. Pachuca
wc2022,Mexico,Roberto Alvarado,C.D. Guadalajara
wc2022,Mexico,Kevin Álvarez,C.F. Pachuca
wc2022,South Korea,Kim Seung-gyu,Al-Shabab
wc2022,South Korea,Yoon Jong-gyu,FC Seoul
wc2022,South Korea,Kim Jin-su,Jeonbuk Hyundai Motors
wc2022,South Korea,Kim Min-jae,Napoli
wc2022,South Korea,Jung Woo-young,Al-Sadd
wc2022,South Korea,Hwang In-beom,Olympiacos
wc2022,South Korea,Son Heung-min,Tottenham Hotspur
wc2022,South Korea,Paik Seung-ho,Jeonbuk Hyundai Motors
wc2022,South Korea,Cho Gue-sung,Jeonbuk Hyundai Motors
wc2022,South Korea,Lee Jae-sung,Mainz 05
wc2022,South Korea,Hwang Hee-chan,Wolverhampton Wanderers
wc2022,South Korea,Song Bum-keun,Jeonbuk Hyundai Motors
wc2022,South Korea,Son Jun-ho,Shandong Taishan
wc2022,South Korea,Hong Chul,Daegu
wc2022,South Korea,Kim Moon-hwan,Jeonbuk Hyundai Motors
wc2022,South Korea,Hwang Ui-jo,Olympiacos
wc2022,South Korea,Na Sang-ho,FC Seoul
wc2022,South Korea,Lee Kang-in,Mallorca
wc2022,South Korea,Kim Young-gwon,Ulsan Hyundai
wc2022,South Korea,Kwon Kyung-won,Gamba Osaka
wc2022,South Korea,Jo Hyeon-woo,Ulsan Hyundai
wc2022,South Korea,Kwon Chang-hoon,Gimcheon Sangmu
wc2022,South Korea,Kim Tae-hwan,Ulsan Hyundai
wc2022,South Korea,Cho Yu-min,Daejeon Hana Citizen
wc2022,South Korea,Jeong Woo-yeong,SC Freiburg
wc2022,South Korea,Song Min-kyu,Jeonbuk Hyundai Motors
wc2022,Tunisia,Aymen Mathlouthi,Étoile Sportive du Sahel
wc2022,Tunisia,Bilel Ifa,Kuwait
wc2022,Tunisia,Montassar Talbi,FC Lorient
wc2022,Tunisia,Yassine Meriah,Espérance Sportive de Tunis
wc2022,Tunisia,Nader Ghandri,Club Africain
wc2022,Tunisia,Dylan Bronn,U.S. Salernitana 1919
wc2022,Tunisia,Youssef Msakni,Al-Arabi
wc2022,Tunisia,Hannibal Mejbri,Birmingham City
wc2022,Tunisia,Issam Jebali,Odense Boldklub
wc2022,Tunisia,Wahbi Khazri,Montpellier HSC
wc2022,Tunisia,Taha Yassine Khenissi,Kuwait
wc2022,Tunisia,Ali Maâloul,Al Ahly
wc2022,Tunisia,Ferjani Sassi,Al-Duhail
wc2022,Tunisia,Aïssa Laïdouni,Ferencvárosi TC
wc2022,Tunisia,Mohamed Ali Ben Romdhane,Espérance Sportive de Tunis
wc2022,Tunisia,Aymen Dahmen,CS Sfaxien
wc2022,Tunisia,Ellyes Skhiri,1. FC Köln
wc2022,Tunisia,Ghailene Chaalali,Espérance Sportive de Tunis
wc2022,Tunisia,Seifeddine Jaziri,Zamalek
wc2022,Tunisia,Mohamed Dräger,FC Luzern
wc2022,Tunisia,Wajdi Kechrida,Atromitos
wc2022,Tunisia,Bechir Ben Saïd,US Monastir
wc2022,Tunisia,Naïm Sliti,Ettifaq
wc2022,Tunisia,Ali Abdi,Stade Malherbe Caen
wc2022,Tunisia,Anis Ben Slimane,Brøndby IF
wc2022,Tunisia,Mouez Hassen,Club Africain
wc2022,Qatar,Saad Al-Sheeb,Al-Sadd
wc2022,Qatar,Pedro Miguel,Al-Sadd
wc2022,Qatar,Abdelkarim Hassan,Al-Sadd
wc2022,Qatar,Mohammed Waad,Al-Sadd
wc2022,Qatar,Tarek Salman,Al-Sadd
wc2022,Qatar,Abdulaziz Hatem,Al-Rayyan
wc2022,Qatar,Ahmed Alaaeldin,Al-Gharafa
wc2022,Qatar,Ali Assadalla,Al-Sadd
wc2022,Qatar,Mohammed Muntari,Al-Duhail
wc2022,Qatar,Hassan Al-Haydos,Al-Sadd
wc2022,Qatar,Akram Afif,Al-Sadd
wc2022,Qatar,Karim Boudiaf,Al-Duhail
wc2022,Qatar,Musab Kheder,Al-Sadd
wc2022,Qatar,Homam Ahmed,Al-Gharafa
wc2022,Qatar,Bassam Al-Rawi,Al-Duhail
wc2022,Qatar,Boualem Khoukhi,Al-Sadd
wc2022,Qatar,Ismaeel Mohammad,Al-Duhail
wc2022,Qatar,Khalid Muneer,Al-Wakrah
wc2022,Qatar,Almoez Ali,Al-Duhail
wc2022,Qatar,Salem Al-Hajri,Al-Sadd
wc2022,Qatar,Yousef Hassan,Al-Gharafa
wc2022,Qatar,Meshaal Barsham,Al-Sadd
wc2022,Qatar,Assim Madibo,Al-Duhail
wc2022,Qatar,Naif Al-Hadhrami,Al-Rayyan
wc2022,Qatar,Jassem Gaber,Al-Arabi
wc2022,Qatar,Mostafa Meshaal,Al-Sadd
wc2022,Saudi Arabia,Mohammed Al-Rubaie,Al-Ahli
wc2022,Saudi Arabia,Sultan Al-Ghannam,Al-Nassr
wc2022,Saudi Arabia,Abdullah Madu,Al-Nassr
wc2022,Saudi Arabia,Abdulelah Al-Amri,Al-Nassr
wc2022,Saudi Arabia,Ali Al-Bulaihi,Al-Hilal
wc2022,Saudi Arabia,Mohammed Al-Breik,Al-Hilal
wc2022,Saudi Arabia,Salman Al-Faraj,Al-Hilal
wc2022,Saudi Arabia,Abdulellah Al-Malki,Al-Hilal
wc2022,Saudi Arabia,Firas Al-Buraikan,Al-Fateh
wc2022,Saudi Arabia,Salem Al-Dawsari,Al-Hilal
wc2022,Saudi Arabia,Saleh Al-Shehri,Al-Hilal
wc2022,Saudi Arabia,Saud Abdulhamid,Al-Hilal
wc2022,Saudi Arabia,Yasser Al-Shahrani,Al-Hilal
wc2022,Saudi Arabia,Abdullah Otayf,Al-Hilal
wc2022,Saudi Arabia,Ali Al-Hassan,Al-Nassr
wc2022,Saudi Arabia,Sami Al-Najei,Al-Nassr
wc2022,Saudi Arabia,Hassan Al-Tambakti,Al-Shabab
wc2022,Saudi Arabia,Nawaf Al-Abed,Al-Shabab
wc2022,Saudi Arabia,Hattan Bahebri,Al-Shabab
wc2022,Saudi Arabia,Abdulrahman Al-Aboud,Al-Ittihad
wc2022,Saudi Arabia,Mohammed Al-Owais,Al-Hilal
wc2022,Saudi Arabia,Nawaf Al-Aqidi,Al-Nassr
wc2022,Saudi Arabia,Mohamed Kanno,Al-Hilal
wc2022,Saudi Arabia,Nasser Al-Dawsari,Al-Hilal
wc2022,Saudi Arabia,Haitham Asiri,Al-Ahli
wc2022,Saudi Arabia,Riyadh Sharahili,Abha
